,Acc_ts,Acc_x,Acc_y,Acc_z,Gyro_ts,Gyro_x,Gyro_y,Gyro_z,Mag_ts,Mag_x,Mag_y,Mag_z
0,0.0,-9.515625,-0.82421875,-0.27734375,1.313,-0.130859375,-0.00390625,-0.0546875,-15.014,33.8125,-6.0625,-44.5625
1,7.6499999999999995,-9.43359375,-0.87109375,-0.48046875,5.92,-0.1328125,0.00390625,-0.0625,7.635000000000001,33.9375,-6.625,-43.3125
2,23.421,-9.421875,-0.8515625,-0.671875,23.227999999999998,-0.11328125,0.001953125,-0.056640625,23.407,33.0625,-6.375,-39.75
3,33.515,-9.3671875,-0.8125,-0.74609375,30.755000000000003,-0.1328125,-0.021484375,-0.029296875,33.321000000000005,33.875,-6.1875,-40.5625
4,43.356,-9.265625,-0.7578125,-0.73828125,40.978,-0.138671875,-0.046875,-0.033203125,43.361999999999995,34.4375,-5.75,-40.6875
5,53.18,-9.26953125,-0.7578125,-0.6796875,50.941,-0.146484375,-0.064453125,-0.041015625,53.203,33.5625,-6.1875,-39.875
6,63.04899999999999,-9.19921875,-0.79296875,-0.65234375,60.803999999999995,-0.171875,-0.0546875,-0.0390625,63.17100000000001,33.6875,-5.375,-43.25
7,72.867,-9.17578125,-0.77734375,-0.70703125,71.037,-0.189453125,-0.03515625,-0.04296875,72.98,33.8125,-6.625,-41.9375
8,82.83600000000001,-9.21484375,-0.82421875,-0.7578125,81.063,-0.21875,-0.05859375,-0.04296875,82.948,33.875,-6.1875,-42.5625
9,92.77199999999999,-8.82421875,-1.08203125,-0.69140625,90.932,-0.232421875,-0.0625,-0.041015625,92.779,34.6875,-6.4375,-43.5
10,102.677,-9.83984375,-0.8828125,-0.5859375,100.937,-0.19140625,-0.111328125,-0.087890625,102.684,33.875,-6.625,-42.5625
11,112.486,-9.546875,-1.00390625,-0.56640625,111.114,-0.158203125,-0.115234375,0.048828125,112.49000000000001,33.875,-5.8125,-42.5625
12,122.387,-9.23046875,-0.86328125,-0.65234375,121.007,-0.173828125,-0.083984375,0.08203125,122.39,34.5,-5.8125,-44.0625
13,131.10399999999998,-9.0859375,-0.91796875,-0.65234375,130.934,-0.16015625,-0.08203125,0.080078125,131.047,34.75,-6.1875,-44.125
14,141.03,-9.0703125,-0.9296875,-0.66015625,140.95499999999998,-0.169921875,-0.10546875,0.044921875,140.966,33.125,-6.0625,-43.125
15,150.911,-9.421875,-0.671875,-0.52734375,150.989,-0.158203125,-0.119140625,0.126953125,151.01600000000002,34.9375,-6.0,-43.5625
16,163.51,-9.25,-0.59375,-0.515625,163.438,-0.13671875,-0.068359375,0.16796875,163.413,33.5625,-5.8125,-41.875
17,173.565,-9.203125,-0.57421875,-0.48828125,173.38899999999998,-0.134765625,-0.05078125,0.15234375,173.461,33.5625,-6.1875,-41.875
18,183.48700000000002,-9.24609375,-0.5546875,-0.44921875,183.30599999999998,-0.12109375,-0.048828125,0.150390625,183.38199999999998,33.9375,-5.8125,-43.3125
19,193.432,-9.24609375,-0.44921875,-0.57421875,193.435,-0.087890625,-0.064453125,0.171875,193.41,33.125,-6.6875,-43.125
20,203.403,-8.9921875,-0.3828125,-0.6796875,203.524,-0.130859375,-0.041015625,0.146484375,203.697,33.3125,-5.8125,-42.4375
21,213.285,-9.125,-0.35546875,-0.74609375,213.406,-0.173828125,-0.01171875,0.1015625,213.464,33.875,-6.1875,-42.5625
22,223.229,-9.13671875,-0.421875,-0.765625,220.825,-0.2265625,0.025390625,0.08203125,223.236,33.875,-6.1875,-42.5625
23,233.383,-9.14453125,-0.5546875,-0.7578125,230.976,-0.302734375,0.05859375,0.03515625,233.389,33.75,-6.4375,-43.9375
24,243.21699999999998,-9.2890625,-0.6796875,-0.7578125,240.769,-0.337890625,0.05078125,0.02734375,243.22299999999998,33.125,-6.4375,-43.125
25,253.16300000000004,-9.30859375,-0.6796875,-0.66015625,250.97799999999998,-0.322265625,0.009765625,0.029296875,253.16899999999998,33.6875,-6.875,-43.3125
26,263.033,-9.37890625,-0.61328125,-0.5546875,260.998,-0.306640625,0.01171875,0.04296875,263.102,34.1875,-5.8125,-43.375
27,270.93899999999996,-9.25,-0.69921875,-0.46875,268.513,-0.294921875,-0.00390625,0.0546875,270.853,33.875,-5.8125,-45.25
28,280.884,-9.140625,-0.70703125,-0.27734375,278.387,-0.265625,-0.0390625,0.05078125,280.688,33.75,-6.0625,-43.875
29,290.7,-9.5234375,-0.56640625,-0.3046875,288.477,-0.197265625,-0.0234375,0.044921875,290.597,34.375,-6.4375,-45.4375
30,300.55199999999996,-9.23046875,-0.52734375,-0.375,298.601,-0.208984375,0.0078125,0.078125,300.555,34.4375,-6.0,-43.4375
31,312.465,-9.265625,-0.421875,-0.62109375,311.005,-0.279296875,0.119140625,0.076171875,312.47200000000004,33.875,-5.8125,-45.25
32,320.88800000000003,-9.2421875,-0.48046875,-0.765625,320.863,-0.34765625,0.126953125,0.10546875,320.899,34.125,-6.25,-45.375
33,330.886,-9.296875,-0.3828125,-0.8125,330.964,-0.455078125,0.150390625,0.087890625,331.048,34.25,-6.4375,-44.0625
34,340.165,-9.17578125,-0.32421875,-0.9296875,338.49600000000004,-0.55078125,0.18359375,0.072265625,339.972,33.5625,-6.875,-42.5625
35,353.5,-9.04296875,-0.421875,-0.8984375,353.52,-0.703125,0.181640625,0.025390625,353.828,33.75,-6.875,-43.9375
36,363.56100000000004,-9.2265625,-0.46875,-0.74609375,363.482,-0.7578125,0.17578125,0.00390625,363.458,33.6875,-5.8125,-43.25
37,373.46299999999997,-9.43359375,-0.48046875,-0.6015625,373.483,-0.763671875,0.193359375,0.015625,373.358,33.75,-6.0625,-43.875
38,383.408,-9.25390625,-0.39453125,-0.32421875,383.413,-0.69921875,0.162109375,0.017578125,383.58500000000004,33.9375,-6.0,-43.3125
39,390.984,-9.12109375,-0.41015625,-0.23046875,390.901,-0.62109375,0.1953125,-0.01171875,390.993,34.0625,-6.0,-42.0
